,TSM1_TPM,TSM2_TPM,STB48M1_TPM,STB48M2_TPM,EVT48M1_TPM,EVT48M2_TPM
ENSG00000000003,24.13636299,23.6577613,12.27902448,10.25740702,18.27916172,18.56441938
ENSG00000000005,0,0,0.156578999,0,0,0
ENSG00000000419,38.62412072,39.64715069,14.01878309,13.5892627,31.26456354,33.55766044
ENSG00000000457,5.980367572,5.514022754,3.995664916,3.369492692,8.478346795,8.540187582
ENSG00000000460,8.273943718,9.424402929,1.961407676,2.386030679,7.781794433,7.126407756
ENSG00000000938,0,0.032813051,0.045556988,0,0.074859068,0.111654428
ENSG00000000971,0,0,0,0,0,0
ENSG00000001036,83.69193795,87.69363471,68.32858922,69.98290549,61.31963006,57.13739277
ENSG00000001084,17.14535458,19.32833392,13.5873797,13.87928962,23.69277328,21.16363168
ENSG00000001167,23.88359616,24.82566,8.436957601,8.657959606,17.55373398,16.88696645
ENSG00000001460,2.047632112,2.529538867,1.43012866,1.56433453,2.126882353,2.972649914
ENSG00000001461,10.92378498,12.03514684,6.960866359,7.13828463,23.75184362,21.21976002
ENSG00000001497,23.46969329,25.91596987,7.369277387,7.274970481,17.32185758,17.81554078
ENSG00000001561,5.064952627,5.328842316,7.680462865,6.997790234,4.08871716,3.198291878
ENSG00000001617,4.231467091,5.058894012,2.585986842,2.625325923,2.491863844,2.425626507
ENSG00000001626,0.172064447,0.122783255,0.178218462,0.129597321,0.190987754,0.24055154
ENSG00000001629,51.71467498,52.85107406,20.57027191,20.83780751,48.58571306,43.55854459
ENSG00000001630,16.75399536,18.8677368,21.45855498,20.85156875,20.37439391,21.1866887
ENSG00000001631,4.894309946,4.79383655,3.824525325,3.161375271,5.284647158,5.214223385
ENSG00000002016,9.141210304,9.956338088,3.387363917,2.734159072,9.951518073,9.112634512
ENSG00000002079,0.016952045,0.123167301,0.04885801,0.113494404,0.06021247,0.039914938
ENSG00000002330,68.23128486,78.61722702,11.50140583,13.32712686,55.51137341,59.10371789
ENSG00000002549,61.98839669,58.73180134,9.866590039,9.414055946,54.09830471,59.25532099
ENSG00000002586,111.274198,93.7040502,10.05380277,10.31425365,62.90248115,23.26736084
ENSG00000002586_PAR_Y,179.6981461,179.2986568,30.33584337,30.2502325,106.7830852,108.330552
ENSG00000002587,1.064132396,1.208994328,2.393478997,2.146946233,0.834263279,0.914199724
ENSG00000002726,0.875439226,1.670761517,8.281564971,9.680251248,0.501532026,0.864412498
ENSG00000002745,0.098268884,0.169996536,0.094407926,0.065791287,0,0
ENSG00000002746,0.007672519,0.063709358,0.011056601,0.015410317,0.027252246,0.027098333
ENSG00000002822,0.292079707,0.478678959,0.143994144,0.226424191,0.236610623,0.144784194
ENSG00000002834,201.5379153,228.642678,21.61309079,21.15697221,181.2658199,172.6658902
ENSG00000002919,20.15194505,21.66847498,15.17251632,16.57462879,24.93142032,27.16612833
ENSG00000002933,0.707242032,0.638330392,0.199405178,0.205869774,0.036406869,0
ENSG00000003056,89.44008921,92.46263802,17.94303603,17.77043769,61.33363148,56.80906693
ENSG00000003096,2.847841537,2.70163763,3.739867966,3.833776918,1.033286689,0.919298249
ENSG00000003137,2.761845047,3.141847942,0.636799895,0.798795144,3.636195283,2.575181664
ENSG00000003147,7.619692365,6.727058496,13.12608511,12.90010443,22.45014698,23.99889555
ENSG00000003249,29.73631396,30.36730947,12.0855686,11.64673872,17.02196548,16.361636
ENSG00000003393,5.685115746,5.486929995,1.349346256,1.204656076,3.259759128,3.271396219
ENSG00000003400,3.934799654,3.557132105,1.046668952,1.529627899,1.920257034,2.042240637
ENSG00000003402,2.868040256,3.154598469,2.330400362,2.28636064,8.531466042,7.46416895
ENSG00000003436,0.693670604,0.56841594,96.26648993,95.35160333,9.920315456,9.445217308
ENSG00000003509,26.06292124,25.83612102,15.08665026,15.88073007,29.47101638,31.64893841
ENSG00000003756,18.0757817,18.2152511,15.1738157,14.72118957,32.30362112,30.8572361
ENSG00000003987,21.63640253,21.27210233,2.85774753,2.707015175,7.582776207,7.612625105
ENSG00000003989,441.1913615,472.6877614,235.6032009,230.9424153,418.5767633,382.2329612
ENSG00000004059,168.3715899,184.9156927,43.35170558,44.47822668,168.5510358,177.255024
ENSG00000004139,0.905011731,1.009306403,0.277485339,0.290062262,0.672545188,0.63474277
ENSG00000004142,114.0443151,115.254748,48.50148834,50.56240292,87.23576675,88.8645185
ENSG00000004399,71.68789612,75.32558779,29.39766192,28.34176024,83.20786276,76.58724229
ENSG00000004455,55.563279,54.44342793,35.74510641,33.88287514,58.18384279,60.64076293
ENSG00000004468,0.015592321,0.161840074,0.033704332,0.083512814,0.092304713,0.110140083
ENSG00000004478,193.4147849,202.5598514,91.71908253,89.99259231,180.5263895,179.8969019
ENSG00000004487,230.0867643,231.2904869,80.26561832,81.25223957,284.3779148,273.4008633
ENSG00000004534,41.80570225,41.29396823,40.02244152,37.82540209,46.73943163,48.57935925
ENSG00000004660,2.73296699,2.433569137,3.005608975,2.667552124,1.975522032,2.049035753
ENSG00000004700,26.14207145,29.63019378,5.259463285,5.133217629,19.39499593,20.31801338
ENSG00000004766,9.272289589,8.9043684,5.504360325,4.732622834,10.05118659,9.178011877
ENSG00000004776,0.248066231,0.450589426,0.223424789,0.415202554,0.293704602,0.073011461
ENSG00000004777,4.431141998,4.852463857,0.995913873,0.77568678,0.697911372,1.244359588
ENSG00000004779,179.6446607,174.9915349,33.94001517,33.52465586,83.90047613,102.1285067
ENSG00000004799,0,0,2.170052599,1.622542869,1.002887456,1.357331901
ENSG00000004809,0.027365381,0.028403824,0.17745887,0.09160599,0.03239997,0.096650953
ENSG00000004838,0.18504075,0.38412509,0.133327912,0.12388529,0.306717474,0.043569318
ENSG00000004846,0,0,0,0,0,0.028620227
ENSG00000004848,0.068668302,0.035637039,0.618471959,0.413762545,0.081301659,0.242527473
ENSG00000004864,88.5879948,89.52679238,19.02042329,19.12040218,99.42684503,88.11023081
ENSG00000004866,5.488360822,6.665906458,5.973131296,5.067481644,14.9553069,11.78480606
ENSG00000004897,49.96437037,52.4458246,11.88742984,11.63294852,45.39238189,41.70516494
ENSG00000004939,0.020861765,0.021653412,0.060126335,0.055868035,0,0.049120686
ENSG00000004948,0.278560398,0.105138549,0.091232671,0.067817073,0.149913173,0.089439904
ENSG00000004961,59.59582089,64.69915791,18.51120626,18.727744,61.4834168,62.90901791
ENSG00000004975,31.04417642,30.15749409,33.64662273,34.9227719,43.41678199,41.18450126
ENSG00000005001,26.77398391,28.16237914,3.522239317,3.1226576,27.29259866,25.60729982
ENSG00000005007,66.74645413,75.28557843,48.22779268,46.70753161,74.1830744,68.66933554
ENSG00000005020,20.9605091,22.99791524,6.753838391,5.688019413,15.32452107,14.67447285
ENSG00000005022,598.3888714,619.5974269,163.2388924,164.9353297,368.9330216,376.2391849
ENSG00000005059,68.33034916,72.17195042,10.85667243,11.25562151,40.02346892,40.57638116
ENSG00000005073,0.12017596,0.166315082,0.230908557,0.455929429,0.047428506,0
ENSG00000005075,133.4286925,142.1774246,49.86076206,56.57798207,120.2339936,143.9861442
ENSG00000005100,38.37840412,41.02328566,15.10396344,12.45154376,25.80277876,21.80849431
ENSG00000005102,0.319869994,0.207505121,0.576191977,0.374769217,0,0.14121738
ENSG00000005108,1.341229441,0.843404478,1.558936697,1.566508558,6.479439241,6.131652359
ENSG00000005156,12.38975548,12.34379621,10.20510086,9.837452275,13.45247212,12.32276806
ENSG00000005175,35.81204663,35.32491157,11.02995146,10.22202302,29.38703937,29.38576189
ENSG00000005187,0.768774095,0.694509416,0.605216401,0.419382223,1.163046757,1.458168172
ENSG00000005189,5.227493465,5.857772144,0.655872137,0.940250474,4.095360953,3.674193869
ENSG00000005194,67.8223194,69.83833567,22.63513038,22.53434236,61.81531208,66.04267543
ENSG00000005206,17.75457393,20.23823539,14.55798462,13.285743,16.82362444,17.20366126
ENSG00000005238,9.006146652,8.286039152,5.715833446,4.985400571,6.572579163,6.081333578
ENSG00000005243,0.458377472,0.475771655,0.08256899,0.038360622,0.271354091,0.06745539
ENSG00000005249,10.81206736,10.83178678,2.169034273,2.200164375,2.108788013,2.008277702
ENSG00000005302,7.488531046,7.364208218,4.080275792,4.471977745,9.345151874,8.327098939
ENSG00000005339,13.59336917,13.90129073,16.89645096,15.26048435,16.65033188,14.68598718
ENSG00000005379,0.413058916,0.623612194,0.182631962,0.245118614,0.088918559,0.110520466
ENSG00000005381,0.545647241,0.943921792,0.349472605,0.466787969,0.071781505,0
ENSG00000005421,0.080479146,0,0.724848205,0.269405045,0,0
ENSG00000005436,13.8588272,15.98980819,5.853222248,6.002208262,13.85917917,12.44429687
ENSG00000005448,23.205239,28.36600823,2.83621005,2.811031936,9.054587444,10.10681369
ENSG00000005469,317.8814047,325.3896649,25.18542628,24.04660348,551.5834157,527.6030037
ENSG00000005471,1.231311147,1.249316157,0.129591003,0.092625415,0.278464495,0.390906082
ENSG00000005483,15.30296117,15.97290117,7.890297291,7.504161216,16.90960921,13.53731846
ENSG00000005486,59.94484138,64.12331927,17.0512564,16.23299533,68.748751,78.89367947
ENSG00000005513,0.191349522,0.124131699,0.499791756,0.704599664,0,0
ENSG00000005700,23.02893363,24.97195495,5.43384257,4.999745441,14.53300493,12.4153816
ENSG00000005801,15.15510763,15.42697007,2.32209155,2.255431613,9.598580373,8.716761676
ENSG00000005810,18.47061289,20.72283408,9.938052663,9.49816175,12.59596716,11.28481531
ENSG00000005812,17.79927792,17.95716941,7.871347518,7.66793918,33.57874569,30.64966642
ENSG00000005844,0.140907856,0.135004548,0.132768324,0.043540706,0.089832399,0.216932268
ENSG00000005882,5.843181702,6.572014498,9.870744646,10.15295087,6.432297195,6.07387026
ENSG00000005884,70.25601604,81.20940902,22.45402263,21.77660728,39.06597806,35.67350995
ENSG00000005889,13.30984991,13.76580292,3.512137802,3.07329834,18.93827551,17.02061399
ENSG00000005893,95.16072793,93.42610472,39.79637401,38.77426716,83.92896323,77.44512904
ENSG00000005961,3.811072647,3.507510615,2.881273526,2.601799915,1.155839777,1.105107623
ENSG00000005981,0,0,0,0,0,0
ENSG00000006007,251.046868,241.867137,332.3465215,324.7719298,472.8113544,465.4674543
ENSG00000006015,32.06544866,37.79230257,20.65895224,23.20912072,18.85093889,22.40375407
ENSG00000006016,17.11673714,16.79380136,1.791555053,1.664672567,1.919919362,1.654532718
ENSG00000006025,1.594312455,1.452182216,0.750206863,1.045612957,0.770460641,0.90017843
ENSG00000006042,9.254969907,9.328041266,0.668336038,0.662402965,0.683328925,1.140538392
ENSG00000006047,2.770456803,2.755771959,3.210562596,3.245949747,0.874708241,1.359012722
ENSG00000006059,0,0,0,0.054935472,0.097150179,0
ENSG00000006062,2.584256656,2.506111247,0.842675683,0.83351107,2.479026437,2.620477678
ENSG00000006071,0,0,0.005653252,0,0,0.013855407
ENSG00000006116,0,0,0.080372318,0,0,0
ENSG00000006118,54.63414895,58.93477486,26.2226125,24.95589965,53.7044961,52.22449361
ENSG00000006125,142.6915455,148.9688311,34.28145668,32.60793342,81.37834467,76.9557147
ENSG00000006128,0.499610025,0.453747763,0,0.041811285,0.07394082,0
ENSG00000006194,13.90933662,16.49960943,8.421959564,8.563327346,17.14050514,17.9479799
ENSG00000006210,0.376719372,0.372395096,0.168033435,0.228194209,0.446026904,0.316791338
ENSG00000006282,6.731114722,7.028128847,2.785856358,2.736089143,6.475204148,6.462218807
ENSG00000006283,0.148760846,0.099260947,0.068905964,0.163621663,0,0.012509616
ENSG00000006327,126.8632191,135.3744052,43.6299859,55.36492064,95.80102682,92.60415311
ENSG00000006377,3.66216324,3.253511641,16.03350764,13.85906354,15.02872379,14.87077086
ENSG00000006432,7.665258547,8.457872539,6.449800691,6.079697095,5.621078298,4.766175896
ENSG00000006451,50.69499235,52.58772303,11.17131437,11.48014761,59.10208096,55.9898964
ENSG00000006453,67.06401855,68.41193761,19.30316027,19.28720505,69.97583716,72.71372057
ENSG00000006459,3.306227147,3.230521502,6.768861018,6.426864464,6.35768051,5.811737188
ENSG00000006468,0.389191793,0.265459801,0,0.014889427,0.052662167,0.026182373
ENSG00000006530,4.667666329,4.180837307,1.490757364,1.29149459,3.384480828,3.282997155
ENSG00000006534,2.807648492,3.383141443,0.581322572,0.453727536,8.425102222,9.308355202
ENSG00000006555,0.454889573,0.599269084,0.226912717,0.128847999,0.165716489,0.185378142
ENSG00000006576,28.34290101,30.27840035,7.555778793,7.426334208,24.50914964,23.3662008
ENSG00000006606,0,0,0,0,0,0
ENSG00000006607,14.10575257,14.15453781,2.937596776,2.834148193,8.896566009,7.208437623
ENSG00000006611,12.92853007,11.47301906,0.329888706,0.321121584,1.910157945,1.642698314
ENSG00000006625,72.50739375,67.1133526,10.6324409,12.57381286,56.2254528,54.72341813
ENSG00000006634,31.66777331,33.40080099,8.416214879,8.303075202,26.91516639,26.95490972
ENSG00000006638,8.622912049,9.774482108,2.670538731,2.911852084,2.77622015,2.582441451
ENSG00000006652,5.006216378,4.494001058,7.428763966,7.618268037,15.28267475,13.92203452
ENSG00000006659,0.118270515,0,0.170435547,0.475094604,0,0
ENSG00000006695,13.08762331,14.06061579,5.142632791,5.191629807,11.09226118,11.92390842
ENSG00000006704,11.26909273,13.30182219,10.68013808,10.17706884,12.71904973,11.56261574
ENSG00000006712,69.66457014,69.89398626,49.62796081,49.57920589,81.85938852,86.25527858
ENSG00000006715,31.39087428,31.46546408,28.09381112,25.67937816,41.1831289,38.87216065
ENSG00000006740,9.049254919,10.24977354,6.38806033,5.943320356,7.590855605,6.562290768
ENSG00000006744,56.42054205,60.27322594,23.61055658,21.21256923,37.94707915,36.69012549
ENSG00000006747,0.754099151,0.649080873,25.82252466,24.15994594,5.574779102,5.770656045
ENSG00000006756,5.919518386,6.065174443,5.33973162,4.91061822,12.77397644,12.71974785
ENSG00000006757,16.98879145,17.24306112,2.371407524,2.854003275,14.21363228,13.1001097
ENSG00000006788,0.174700238,0.23572853,0.03776317,0.093569831,0.082736394,0.020567281
ENSG00000006831,71.38160031,76.25995039,48.88293756,48.87045858,69.55646257,65.10533751
ENSG00000006837,1.188338867,0.740059864,0.244639147,0.409163724,0.241194062,0.599579668
ENSG00000007001,0.216942602,0.037529164,0.078157119,0.096829111,0.042809159,0.042567385
ENSG00000007038,13.37136257,16.19189781,0.822457658,0.436690922,3.796956946,3.455554117
ENSG00000007047,28.59246558,29.77750859,12.28006553,12.60409235,15.25278245,13.14315986
ENSG00000007062,18.78244261,20.03093096,0.537202239,0.691139368,4.142034427,3.595371398
ENSG00000007080,243.7645741,245.4650908,124.2051358,131.9571211,171.3226153,173.3104824
ENSG00000007129,0.32448117,0.392926743,0,0,0,0
ENSG00000007168,35.1238437,37.12555471,16.37404041,16.86733618,53.03936987,50.14395948
ENSG00000007171,24.88805241,21.69525238,41.34667961,41.07075313,67.27885099,60.17465508
ENSG00000007174,0,0,0.009094725,0,0.007472208,0.007430008
ENSG00000007202,59.12142163,61.41300159,95.53673022,86.68486673,64.88390222,59.03647243
ENSG00000007216,0,0,0,0.044377508,0,0
ENSG00000007237,23.53469144,26.76566841,2.768109525,2.987823414,9.570641146,9.801590945
ENSG00000007255,23.49184546,26.40532688,26.17436969,28.00325395,99.31559717,98.34995906
ENSG00000007264,0.155026407,0.402273098,3.593068,4.549488172,0.336503991,0.638788527
ENSG00000007306,0,0,0.319414075,0.08094337,0.14314363,0.047445065
ENSG00000007312,0.93331611,0.699640447,0.298882123,0.104142949,0.122780488,0
ENSG00000007314,0.064852933,0.121165067,0.214951832,0.173676866,0.076784352,0.015270139
ENSG00000007341,3.28345089,3.230118687,1.700739916,1.606774483,3.216188549,3.508512257
ENSG00000007350,5.427697571,5.287461172,0,0.101504425,0.969325141,0.535472596
ENSG00000007372,0.015540949,0.064522742,0.003732587,0.003468236,0,0.006098733
ENSG00000007376,46.17991634,46.20899987,25.79024051,28.95291831,26.60651848,26.63808247
ENSG00000007384,32.5057629,35.88467047,56.49997347,55.22248048,40.59841531,38.85784643
ENSG00000007392,26.08860654,25.62314626,9.791765027,9.388041693,21.70584482,21.70554122
ENSG00000007402,0.42714047,0.494504982,0.461653015,0.428957574,0.389018695,0.406162711
ENSG00000007516,4.882913109,5.23169696,10.27746715,9.162920236,3.23252948,3.234877403
ENSG00000007520,86.41684417,107.2134715,55.89947889,59.21694321,66.43185445,68.24121772
ENSG00000007541,8.587619676,10.28371712,6.266109749,6.9795042,8.121141595,7.001776779
ENSG00000007545,5.74632899,7.023000677,5.6101767,6.328699334,9.218620723,8.873695385
ENSG00000007866,141.4566561,135.2503814,460.0988367,441.5526239,359.9147122,335.0938216
ENSG00000007908,0.046627364,0.072595119,0.03359654,0.171694314,0,0
ENSG00000007923,42.23655779,44.01397936,29.0688002,29.72798011,39.3482116,36.97157882
ENSG00000007933,0.062178857,0,0.0448019,0,0.036809155,0
ENSG00000007944,81.0226946,86.0118723,48.07281073,51.05266814,189.8388183,180.2850705
ENSG00000007952,0.462478175,0.261833438,0.212055867,0.056296438,0.049778483,0.049497349
ENSG00000007968,8.769427382,10.28061365,1.819435349,1.546420469,10.98536944,10.78505728
ENSG00000008018,308.2704181,313.0669688,108.5945565,107.1617023,383.6392272,425.3206146
ENSG00000008056,0.687382023,0.41618868,0.123820306,0,0.033910175,0.06743732
ENSG00000008083,44.93097618,48.48436243,28.15472952,27.26127941,45.20952974,43.38181036
ENSG00000008086,4.976646506,4.722906278,1.81111023,1.566396085,4.424156752,3.580105636
ENSG00000008118,0.706780048,0.500182115,0.48611004,0.38715642,0.19018432,0.075644086
ENSG00000008128,4.688768856,4.757576209,7.256766848,7.798589947,7.119722993,6.559688486
ENSG00000008130,66.18460479,70.84786617,114.6009842,114.8379002,112.0644408,112.651834
ENSG00000008196,0,0,0,0,0.02056648,0.040900653
ENSG00000008197,0,0,0,0,0.057461046,0.399955655
ENSG00000008226,0.397506945,0.612232187,0.120110251,0.214622572,0.622457905,0.4226924
ENSG00000008256,37.82945952,40.7935489,45.44220166,41.97737857,83.36674648,80.25191477
ENSG00000008277,3.097669886,3.174621876,0.011272588,0.015711352,1.880091945,1.86947373
ENSG00000008282,106.0329376,105.151904,28.29021859,30.83921075,98.47652508,97.28715491
ENSG00000008283,24.91220111,26.48617931,22.92486836,21.26072276,13.07456868,11.57468774
ENSG00000008294,49.89319654,51.7494118,30.40657898,28.1334672,70.64565193,64.16661588
ENSG00000008300,6.044451631,8.012544306,1.496239516,1.204213317,1.572051229,1.354143826
ENSG00000008311,10.22112685,11.18355909,1.039883748,1.105215764,4.693163831,4.864496576
