,STM1,STM2,ST481,ST482,TSM1,TSM2,TS481,TS482,EVTM481,EVTM482,EVTV481,EVTV482
ENSG00000000003,1406,1234,1420,1312,1971,1736,2077,1990,1230,1235,946,1295
ENSG00000000005,6,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,3014,3176,3296,3076,6231,5550,2396,2192,4085,4226,3621,4545
ENSG00000000457,611,552,655,599,675,539,1568,1667,807,813,766,702
ENSG00000000460,266,334,366,356,856,845,1644,1713,632,606,496,528
ENSG00000000938,4,0,8,1,0,1,22,20,4,3,0,4
ENSG00000000971,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001036,3917,4381,4102,4155,3631,3541,3816,3263,2172,2130,1979,2695
ENSG00000001084,2705,2830,2860,2608,2424,2449,2828,3022,2762,2497,2599,2573
ENSG00000001167,1223,1267,1098,1254,2495,2340,3125,3096,1539,1506,1237,1365
ENSG00000001460,277,339,245,229,296,322,1937,1583,254,356,325,250
ENSG00000001461,1470,1675,1561,1588,1679,1747,1944,1917,3058,2771,2938,2567
ENSG00000001497,2213,2354,2440,2597,5099,4982,3344,3261,3163,3247,2741,2906
ENSG00000001561,877,887,999,773,434,399,705,688,294,219,202,237
ENSG00000001617,299,334,328,344,363,359,166,187,170,162,196,119
ENSG00000001626,35,30,21,26,24,13,4,1,19,26,15,24
ENSG00000001629,3677,3968,4111,3931,6697,6071,9858,10391,5314,4821,5638,4417
ENSG00000001630,1149,1230,1141,1108,721,748,1601,1534,742,783,701,533
ENSG00000001631,403,372,415,374,393,368,405,330,351,335,344,384
ENSG00000002016,349,299,285,334,675,614,2949,2687,643,538,491,500
ENSG00000002079,5,13,16,6,0,10,41,24,3,2,1,2
ENSG00000002330,271,353,265,315,1195,1228,867,724,801,839,623,1044
ENSG00000002549,892,969,1038,1059,4128,3495,7315,6747,2977,3320,3081,3600
ENSG00000002586,0,0,1,0,2,2,0,0,0,0,2,2
ENSG00000002586_PAR_Y,2222,2261,1139,1518,4658,6330,309,248,2802,5512,3228,316
ENSG00000002587,429,434,553,549,136,136,163,149,95,101,78,66
ENSG00000002726,792,990,1065,1201,63,95,48,78,26,45,35,57
ENSG00000002745,7,3,6,4,2,10,12,11,0,0,3,0
ENSG00000002746,1,3,0,2,1,13,62,47,6,4,2,4
ENSG00000002822,13,24,35,24,22,32,7,19,16,7,5,6
ENSG00000002834,3534,3730,2866,2923,24368,24752,14629,13308,18201,17322,16063,14349
ENSG00000002919,1558,1845,1555,1788,1497,1406,1721,1559,1530,1704,1314,1664
ENSG00000002933,14,15,20,24,37,32,59,34,0,0,6,0
ENSG00000003056,1466,1518,1504,1600,5342,4859,4563,4511,3043,2858,2977,3128
ENSG00000003096,612,690,782,772,351,305,215,251,106,85,98,80
ENSG00000003137,73,101,70,108,242,238,622,676,265,186,187,215
ENSG00000003147,1404,1500,1534,1586,623,468,1191,1054,1506,1672,1452,1632
ENSG00000003249,1346,1417,1235,1295,2431,2237,1819,1593,1188,1146,1077,1251
ENSG00000003393,1105,1063,1198,1156,3352,2902,4741,4772,1578,1623,1490,1246
ENSG00000003400,196,307,278,228,511,420,1873,1759,215,224,143,116
ENSG00000003402,1152,1193,1089,1170,1063,1071,4005,3485,2647,2373,2452,2146
ENSG00000003436,26650,28470,31246,29080,141,103,76,79,1685,1611,1552,1872
ENSG00000003509,1353,1512,1686,1561,1657,1487,1370,1209,1600,1719,1508,1437
ENSG00000003756,3210,3398,3788,3494,2876,2591,3886,3307,4193,4076,4039,3550
ENSG00000003987,421,424,622,484,2411,2179,2311,2596,705,732,760,535
ENSG00000003989,46787,49211,53289,49537,63620,60986,37337,39980,50860,46645,51522,38506
ENSG00000004059,1751,1852,1649,1600,4606,4579,3919,3404,3805,4209,3285,4568
ENSG00000004139,63,77,113,107,161,157,188,157,97,93,62,53
ENSG00000004142,3101,3454,3295,3297,5374,4849,5119,4745,3352,3479,3141,3503
ENSG00000004399,6787,7073,6696,6896,11992,11258,10112,9407,11846,10954,11984,9318
ENSG00000004455,8297,8488,8219,8645,9474,8294,4968,4883,8312,8462,7383,8350
ENSG00000004468,4,15,15,13,1,13,17,7,7,7,5,20
ENSG00000004478,9964,10506,9530,9952,14790,13817,19619,20678,12067,12121,11808,13818
ENSG00000004487,10525,11293,10216,10522,21556,19577,10822,11008,22356,21582,22181,22271
ENSG00000004534,6652,6928,7421,7277,5071,4641,6611,6229,4867,4845,4852,4519
ENSG00000004660,544,519,535,572,359,296,346,402,212,225,169,151
ENSG00000004700,458,477,479,416,1670,1662,2840,2916,997,1040,978,931
ENSG00000004766,1219,1132,1222,1200,1552,1353,3028,2929,1378,1289,1165,1253
ENSG00000004776,5,12,17,18,5,7,24,33,4,1,1,1
ENSG00000004777,110,87,89,117,360,326,197,203,52,81,34,35
ENSG00000004779,1292,1366,1373,1394,5031,4432,2988,2637,1962,2377,1744,2597
ENSG00000004799,250,199,362,388,0,0,0,7,64,93,91,78
ENSG00000004809,18,9,12,20,1,1,0,0,1,3,4,4
ENSG00000004838,7,4,1,23,7,15,62,55,11,1,13,5
ENSG00000004846,0,0,0,6,0,0,1,1,0,2,0,0
ENSG00000004848,47,30,40,51,2,1,1,10,2,8,9,2
